"metric","plano","shapiro_p","normal","note"
"degree_entropy","advanced",0.261604191428161,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"assortativity","global",0.211871783435988,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"char_path_length","global",0.952239428921413,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"clustering","global",0.778708214342307,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"density","global",0.490979928637226,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"global_efficiency","global",0.369020955615758,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"mean_strength","global",0.335418236449864,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"modularity","global",0.414560899457191,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"small_worldness","global",0.839517431890843,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"betweenness","nodal",0.674178938104076,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"closeness","nodal",0.634271045070084,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"eigenvector","nodal",0.530700848357221,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
"participation","nodal",0.493578677123876,TRUE,"No evidencia contra normalidad (baja potencia con N pequeño, Razali 2011)"
