Component	initialized classification	Node 0	Node 1	Node 2	Node 4	Node 5	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13
ICA_000	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_001	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_002	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted	accepted	accepted
ICA_003	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_004	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_005	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_006	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_007	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_008	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_009	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_010	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_011	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_012	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_013	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_014	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_015	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_016	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_017	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_018	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted	accepted	accepted
ICA_019	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_020	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_021	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_022	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_023	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_024	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_025	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_026	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_027	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted	accepted	accepted
ICA_028	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_029	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted	accepted	accepted
ICA_030	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_031	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_032	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted	accepted	accepted
ICA_033	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_034	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_035	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_036	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_037	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_038	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_039	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_040	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_041	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_042	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_043	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_044	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_045	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_046	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
